Space,StartDate,Activity,Duration,Tags
Off-Work Space,2023-01-03,Mimir Cyber,06:04:25,"#Interview
#Log Analysis
#Sygnia"
Off-Work Space,2023-01-03,Coding,01:17:10,"#100DaysofCode
#Python"
Off-Work Space,2023-01-04,Mimir Cyber,01:27:46,"#Interview
#Log Analysis
#Sygnia"
Off-Work Space,2023-01-04,Homelab Engineering and Documentation,00:23:53,"#Habit
#Obsidian
#Setup"
Work-Space,2023-01-04,Unit42-Case Work,01:30:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-01-04,Homelab Engineering and Documentation,01:25:58,#Obsidian
Off-Work Space,2023-01-04,Coding,01:09:23,"#100DaysofCode
#Python"
Off-Work Space,2023-01-05,Mimir Cyber,02:15:00,"#Interview
#Log Analysis
#Sygnia"
Off-Work Space,2023-01-05,Mimir Cyber,01:29:11,"#Interview
#Log Analysis
#Sygnia"
Off-Work Space,2023-01-05,Mimir Cyber,01:00:00,"#Interview
#Log Analysis
#Sygnia"
Off-Work Space,2023-01-05,Coding,01:10:57,"#100DaysofCode
#Python"
Off-Work Space,2023-01-05,Gaming,00:07:00,"#Call of Duty
#FPS"
Off-Work Space,2023-01-06,Mimir Cyber,03:36:06,"#Interview
#Log Analysis
#Sygnia"
Off-Work Space,2023-01-06,Coding,01:17:49,"#100DaysofCode
#Python"
Off-Work Space,2023-01-06,Gaming,00:24:03,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-01-06,Gaming,00:58:40,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-01-07,Coding,01:02:48,"#100DaysofCode
#Python"
Off-Work Space,2023-01-07,Gaming,00:32:00,"#NeedForSpeed
#Racing"
Off-Work Space,2023-01-08,Coding,01:16:29,"#100DaysofCode
#Python"
Off-Work Space,2023-01-08,Gaming,01:59:00,"#NeedForSpeed
#Racing"
Off-Work Space,2023-01-09,Gaming,01:45:11,"#NeedForSpeed
#Racing"
Off-Work Space,2023-01-09,Homelab Engineering and Documentation,00:32:08,#Obsidian
Off-Work Space,2023-01-09,Coding,01:20:09,"#100DaysofCode
#Python"
Off-Work Space,2023-01-10,Gaming,00:47:00,"#NeedForSpeed
#Racing"
Work-Space,2023-01-10,Unit42-Case Work,06:40:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-01-10,Coding,01:01:06,"#100DaysofCode
#Python"
Off-Work Space,2023-01-10,Gaming,01:04:00,"#NeedForSpeed
#Racing"
Off-Work Space,2023-01-11,Gaming,01:13:08,"#NeedForSpeed
#Racing"
Work-Space,2023-01-11,Unit42-Case Work,04:20:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-01-11,Mimir Cyber,00:44:58,
Off-Work Space,2023-01-11,Mimir Cyber,00:46:25,
